trial_number,window_start,window_end,solution,rnn_preferred_option,rnn_preferred_option_probability,rnn_solution_probability
120,28,33,attract,attract,0.9910115599632263,0.9910115599632263
89,19,24,attract,attract,0.9909936785697937,0.9909936785697937
181,32,37,attract,attract,0.9901780486106873,0.9901780486106873
185,15,20,attract,attract,0.989809513092041,0.989809513092041
74,13,18,attract,attract,0.9896735548973083,0.9896735548973083
178,21,26,none,none,0.8691443800926208,0.8691443800926208
80,31,36,none,none,0.8654280304908752,0.8654280304908752
236,14,19,none,none,0.8366562128067017,0.8366562128067017
126,15,20,none,none,0.8356212377548218,0.8356212377548218
162,33,38,none,none,0.8292884230613708,0.8292884230613708
231,9,14,repel,repel,0.7497583627700806,0.7497583627700806
133,12,17,repel,repel,0.6667346954345703,0.6667346954345703
106,37,42,repel,repel,0.6634793877601624,0.6634793877601624
11,16,21,repel,repel,0.6496955156326294,0.6496955156326294
91,12,17,repel,repel,0.6440598964691162,0.6440598964691162
