trial_number,window_start,window_end,solution,rnn_preferred_option,rnn_preferred_option_probability,rnn_solution_probability
89,19,24,A,A,0.9149931073188782,0.9149931073188782
179,1,6,A,A,0.9054341316223145,0.9054341316223145
79,27,32,A,A,0.8990163207054138,0.8990163207054138
241,15,20,A,A,0.8902372121810913,0.8902372121810913
220,25,30,A,A,0.8895091414451599,0.8895091414451599
83,4,9,B,B,0.8993303179740906,0.8993303179740906
18,9,14,B,B,0.8930577635765076,0.8930577635765076
45,20,25,B,B,0.8906945586204529,0.8906945586204529
87,9,14,B,B,0.8879732489585876,0.8879732489585876
185,5,10,B,B,0.8851631879806519,0.8851631879806519
233,35,40,same,same,0.7672526836395264,0.7672526836395264
168,27,32,same,same,0.7567442059516907,0.7567442059516907
93,27,32,same,same,0.7490490078926086,0.7490490078926086
167,27,32,same,same,0.7391460537910461,0.7391460537910461
182,24,29,same,same,0.7382214069366455,0.7382214069366455
